id,onsenti,shisetsu,address,lat,lng
135,小林温泉,コスモス温泉,小林市南西方1130-79,31.974858,130.936847
137,白鳥温泉,白鳥温泉上湯,えびの市末永1470,31.975153,130.830279
138,白鳥温泉,白鳥温泉下湯,えびの市末永1470,31.979714,130.830435
140,海潟温泉,江之島温泉　共同浴場,垂水市海潟541-1,31.523708,130.698461
142,湯之元温泉,田之湯温泉,日置市東市来町湯田3077,31.6718459902,130.332288711
143,長湯温泉,山の湯かずよ,竹田市直入町大字長湯2405,33.0644093196,131.368405475
148,波佐見温泉,はさみ温泉 湯治楼,東彼杵郡波佐見町長野郷558-3,33.1150641169,129.868695299
150,久留米温泉,湯の坂　久留米温泉,久留米市野中町湯の坂1235,33.3091446849,130.530058667
151,船小屋温泉,川の駅船小屋　恋ぼたる　温泉館,筑後市大字尾島298-2,33.183035,130.502717
152,くにさき六郷温泉,花いろ温泉,大分県豊後高田市美和1335-1,33.551184,131.45872
155,京町温泉,京町観光ホテル,えびの市大字向江669,32.04894,130.766728
157,熊の川温泉,湯泉郷 温泉館 湯招花,佐賀市富士町大字上熊の川180-1,33.36378,130.241752
159,安楽温泉,安楽温泉 鶴乃湯,霧島市牧園町宿窪田4221,31.819269,130.758306
160,くにさき六郷温泉,真玉 海門温泉,豊後高田市中真玉1778-8,33.612874,131.471759
161,丹生温泉,丹生温泉施設 和みの湯,大分市丹生1189,33.223324,131.707135
162,星生温泉,九重星生ホテル,玖珠郡九重町田野230,33.1117893154,131.225281967
164,長崎温泉,喜道庵,長崎県西彼杵郡長与町岡郷2762-1,32.86625,129.880741
165,島原温泉,HOTEL シーサイド島原,島原市新湊1-38-1,32.762608,130.370718
167,あさくら温泉,ホテルグランスパアベニュー 幸楽の湯,朝倉市甘木1677-2,33.4186515,130.6546685
169,筑後川温泉,旅館ふくせんか みるきいの湯,うきは市浮羽町古川1099-8,33.3588777,130.8065132
171,菊池温泉,木立の中の宿 清流荘,菊池市隈府1587-17,32.992199,130.813268
172,植木温泉,旅館 平山,熊本市北区植木町米塚178,32.9552237,130.7263547
175,小浜温泉,旅館國崎,雲仙市小浜町南本町10-8,32.720107,130.20278
176,尾之間温泉,屋久島 尾之間（おのあいだ）温泉,熊毛郡屋久島町尾之間1291,30.2403779,130.5487047
177,明礬温泉,豊前屋旅館,別府市明礬２組,33.317372,131.450962
178,遠賀川温泉,遠賀川温泉 臨時休業中です　ご注意ください,遠賀郡遠賀町浅木61-1,33.8337895,130.6819011
182,小田温泉,静寂な森の宿 山しのぶ,熊本県阿蘇郡南小国町満願寺5960,33.0720243,131.1298467
183,日奈久温泉,旅館 幸ケ丘,熊本県八代市日奈久上西町394,32.431935,130.575258
184,深耶馬渓温泉,岩戸湯,大分県中津市耶馬溪町深耶馬3211,33.3803642,131.1656954
188,別府温泉,別府のお宿　加賀屋,大分県別府市北浜3丁目12-14,33.281226,131.5069376
189,新富温泉,新冨町温泉健康センター「サン・ルピナス」,宮崎県児湯郡新富町三納代1859-1,32.074159,131.495897
